collected_at,market,candle_key,mts,open,close,high,low,volume
2026-08-18T00:47:02.552099+00:00,fBTC,trade:1h:a30:p2:p30,1787011200000,3e-08,3e-08,3e-08,3e-08,0.11005991000000001
2026-08-18T01:47:02.202397+00:00,fBTC,trade:1h:a30:p2:p30,1787014800000,3e-08,3e-08,3e-08,3e-08,0.13237996000000002
2026-08-18T02:47:02.838750+00:00,fBTC,trade:1h:a30:p2:p30,1787018400000,2e-08,3e-08,3e-08,1e-08,0.59142744
2026-08-18T03:47:03.093711+00:00,fBTC,trade:1h:a30:p2:p30,1787022000000,3e-08,3e-08,3e-08,3e-08,0.19610374
2026-08-18T04:47:02.841664+00:00,fBTC,trade:1h:a30:p2:p30,1787025600000,3e-08,3e-08,3e-08,1e-08,3.83149747
2026-08-18T05:47:04.251619+00:00,fBTC,trade:1h:a30:p2:p30,1787029200000,2e-08,3e-08,3e-08,2e-08,4.8736019200000005
2026-08-18T06:47:02.970336+00:00,fBTC,trade:1h:a30:p2:p30,1787032800000,2e-08,3e-08,3e-08,2e-08,1.58129664
2026-08-18T07:47:02.776119+00:00,fBTC,trade:1h:a30:p2:p30,1787036400000,3e-08,3e-08,3e-08,3e-08,3.5818053799999996
2026-08-18T08:47:02.350015+00:00,fBTC,trade:1h:a30:p2:p30,1787040000000,3e-08,3e-08,3e-08,1e-08,0.31776998
2026-08-18T09:47:02.096006+00:00,fBTC,trade:1h:a30:p2:p30,1787043600000,3e-08,3e-08,3e-08,3e-08,0.19483817
2026-08-18T10:47:03.387695+00:00,fBTC,trade:1h:a30:p2:p30,1787047200000,2e-08,3e-08,3e-08,2e-08,21.65829832
2026-08-18T11:47:02.768628+00:00,fBTC,trade:1h:a30:p2:p30,1787050800000,3e-08,3e-08,3e-08,3e-08,0.39875052
2026-08-18T12:47:11.986046+00:00,fBTC,trade:1h:a30:p2:p30,1787054400000,2e-08,3e-08,3e-08,2e-08,0.50915065
2026-08-18T13:47:15.685620+00:00,fBTC,trade:1h:a30:p2:p30,1787058000000,3e-08,3e-08,3e-08,1e-08,0.35020012
2026-08-18T14:47:12.255055+00:00,fBTC,trade:1h:a30:p2:p30,1787061600000,3e-08,3e-08,3e-08,1e-08,7.40438907
2026-08-18T14:52:41.835831+00:00,fBTC,trade:1h:a30:p2:p30,1787061600000,3e-08,3e-08,3e-08,1e-08,8.96693277
2026-08-18T15:47:09.931733+00:00,fBTC,trade:1h:a30:p2:p30,1787065200000,3e-08,3e-08,3e-08,1e-08,6.22120421
2026-08-18T16:47:19.090076+00:00,fBTC,trade:1h:a30:p2:p30,1787068800000,2e-08,3e-08,3e-08,1e-08,1.08995618
2026-08-18T17:47:08.753214+00:00,fBTC,trade:1h:a30:p2:p30,1787072400000,2e-08,3e-08,3e-08,1e-08,5.46354257
2026-08-18T18:47:11.465375+00:00,fBTC,trade:1h:a30:p2:p30,1787076000000,2e-08,3e-08,3e-08,2e-08,9.077847199999999
2026-08-18T19:47:08.384198+00:00,fBTC,trade:1h:a30:p2:p30,1787079600000,3e-08,3e-08,3e-08,1e-08,0.04725803
2026-08-18T20:47:03.004458+00:00,fBTC,trade:1h:a30:p2:p30,1787083200000,3e-08,3e-08,3e-08,3e-08,0.08336544
2026-08-18T21:47:03.047659+00:00,fBTC,trade:1h:a30:p2:p30,1787086800000,3e-08,3e-08,3e-08,3e-08,0.04443316
2026-08-18T22:47:03.128929+00:00,fBTC,trade:1h:a30:p2:p30,1787090400000,3e-08,3e-08,3e-08,3e-08,0.05443316
2026-08-18T23:47:03.166356+00:00,fBTC,trade:1h:a30:p2:p30,1787094000000,3e-08,3e-08,3e-08,3e-08,0.05443316
