collected_at,market,candle_key,mts,open,close,high,low,volume
2026-08-22T00:47:02.807119+00:00,fETH,trade:1h:a30:p2:p30,1787356800000,9e-07,2e-07,9e-07,2e-07,4.44488647
2026-08-22T01:47:03.362969+00:00,fETH,trade:1h:a30:p2:p30,1787360400000,2e-07,1.4e-06,1e-05,2e-07,33.98283439
2026-08-22T02:47:03.254345+00:00,fETH,trade:1h:a30:p2:p30,1787364000000,2e-07,1.4e-06,1.4e-06,2e-07,1.42413848
2026-08-22T03:47:02.356833+00:00,fETH,trade:1h:a30:p2:p30,1787367600000,1.4e-06,2e-07,6e-06,2e-07,8.190510230000001
2026-08-22T04:47:02.625471+00:00,fETH,trade:1h:a30:p2:p30,1787371200000,1e-05,1.4e-06,1e-05,2e-07,9.21541669
2026-08-22T05:47:02.266313+00:00,fETH,trade:1h:a30:p2:p30,1787374800000,9.99e-06,2.247e-05,2.247e-05,2e-07,81.94584959
2026-08-22T06:47:02.961374+00:00,fETH,trade:1h:a30:p2:p30,1787378400000,1.043e-05,1e-05,2.99e-05,2e-07,13.64560461
2026-08-22T07:47:02.883186+00:00,fETH,trade:1h:a30:p2:p30,1787382000000,1.4e-06,2.147e-05,2.147e-05,1.4e-06,2.98908472
2026-08-22T08:47:02.538964+00:00,fETH,trade:1h:a30:p2:p30,1787385600000,2.147e-05,2.99e-05,2.99e-05,1.4e-06,12.6287203
2026-08-22T09:47:02.943073+00:00,fETH,trade:1h:a30:p2:p30,1787389200000,2.998e-05,2e-07,2.998e-05,2e-07,3.28402965
2026-08-22T10:47:02.415632+00:00,fETH,trade:1h:a30:p2:p30,1787392800000,2e-07,2.213e-05,2.213e-05,2e-07,2.48817009
2026-08-22T11:47:02.279136+00:00,fETH,trade:1h:a30:p2:p30,1787396400000,2.998e-05,2e-07,2.998e-05,2e-07,1.15496586
2026-08-22T12:47:03.116687+00:00,fETH,trade:1h:a30:p2:p30,1787400000000,2e-07,1e-05,1e-05,2e-07,2.34563893
2026-08-22T13:47:02.989448+00:00,fETH,trade:1h:a30:p2:p30,1787403600000,1e-05,2e-07,1.759e-05,2e-07,17.21048862
2026-08-22T14:47:03.032817+00:00,fETH,trade:1h:a30:p2:p30,1787407200000,2e-07,2e-07,2e-07,2e-07,2
2026-08-22T15:47:03.273570+00:00,fETH,trade:1h:a30:p2:p30,1787410800000,2.998e-05,2e-07,2.998e-05,2e-07,4.10958579
2026-08-22T16:47:03.978805+00:00,fETH,trade:1h:a30:p2:p30,1787414400000,2e-07,2.711e-05,2.711e-05,2e-07,8.7757861
2026-08-22T17:47:03.328844+00:00,fETH,trade:1h:a30:p2:p30,1787418000000,2.744e-05,2.998e-05,2.998e-05,2e-07,55.17460446
2026-08-22T18:47:03.230376+00:00,fETH,trade:1h:a30:p2:p30,1787421600000,2.998e-05,2.619e-05,2.998e-05,2e-07,18.68703321
2026-08-22T19:47:03.410280+00:00,fETH,trade:1h:a30:p2:p30,1787425200000,2.405e-05,2e-07,2.54e-05,2e-07,42.59846284
2026-08-22T20:47:02.914882+00:00,fETH,trade:1h:a30:p2:p30,1787428800000,2.998e-05,2e-07,2.998e-05,2e-07,3.80385064
2026-08-22T21:47:02.908017+00:00,fETH,trade:1h:a30:p2:p30,1787432400000,2e-07,1e-05,1e-05,2e-07,11.47259472
2026-08-22T22:47:03.294941+00:00,fETH,trade:1h:a30:p2:p30,1787436000000,2.99e-05,2.998e-05,4.466e-05,2e-07,81.16892419
2026-08-22T23:47:03.410795+00:00,fETH,trade:1h:a30:p2:p30,1787439600000,2.998e-05,2e-07,2.998e-05,2e-07,15.26065985
