collected_at,market,candle_key,mts,open,close,high,low,volume
2026-09-19T00:47:03.696862+00:00,fUSD,trade:1h:a30:p2:p30,1789776000000,0.00018463,0.00028255,0.00030783,0.00013,4474266.56909936
2026-09-19T01:47:03.182818+00:00,fUSD,trade:1h:a30:p2:p30,1789779600000,0.00025315,0.0002704,0.0003,0.00015,7285529.4428435
2026-09-19T02:47:03.878920+00:00,fUSD,trade:1h:a30:p2:p30,1789783200000,0.00024658,0.00015,0.00029679,0.00015,2346998.09110464
2026-09-19T03:47:03.313266+00:00,fUSD,trade:1h:a30:p2:p30,1789786800000,0.00026946,0.00028404,0.00029697,0.000147,2518193.32901213
2026-09-19T04:47:03.533075+00:00,fUSD,trade:1h:a30:p2:p30,1789790400000,0.00027323,0.000231,0.00030488,0.00015,3913141.51605331
2026-09-19T05:47:03.510025+00:00,fUSD,trade:1h:a30:p2:p30,1789794000000,0.00029246,0.0002879,0.00030823,0.0001,13694697.18794788
2026-09-19T06:47:03.793703+00:00,fUSD,trade:1h:a30:p2:p30,1789797600000,0.00028,0.00027943,0.00029879,0.00010959,2451366.34488877
2026-09-19T07:47:03.403926+00:00,fUSD,trade:1h:a30:p2:p30,1789801200000,0.000147,0.0002846,0.0002988,7.945e-05,5527577.94696599
2026-09-19T08:47:03.227559+00:00,fUSD,trade:1h:a30:p2:p30,1789804800000,0.00017822,0.00025417,0.00029693,8e-05,5873386.62594504
2026-09-19T09:47:03.025630+00:00,fUSD,trade:1h:a30:p2:p30,1789808400000,0.0002621,0.00014406,0.00030805,0.0001,5211550.93466394
2026-09-19T10:47:04.694276+00:00,fUSD,trade:1h:a30:p2:p30,1789812000000,0.00021,0.00028699,0.00030136,7.945e-05,7407495.14767973
2026-09-19T11:47:02.934685+00:00,fUSD,trade:1h:a30:p2:p30,1789815600000,0.00029289,0.0002969,0.00030823,0.0001305,9271576.08040842
2026-09-19T12:47:03.861617+00:00,fUSD,trade:1h:a30:p2:p30,1789819200000,0.00029472,0.00027397,0.00030827,0.00015,10626508.19015047
2026-09-19T13:47:03.147021+00:00,fUSD,trade:1h:a30:p2:p30,1789822800000,0.000284,0.00029673,0.00030136,0.00015,3633870.47569962
2026-09-19T14:47:03.253256+00:00,fUSD,trade:1h:a30:p2:p30,1789826400000,0.00029969,0.00029679,0.00030136,0.00015,4345974.48657462
2026-09-19T15:47:03.791575+00:00,fUSD,trade:1h:a30:p2:p30,1789830000000,0.00029689,0.00025,0.0003083,0.00014999,12076189.9160913
2026-09-19T16:47:03.624883+00:00,fUSD,trade:1h:a30:p2:p30,1789833600000,0.00029676,0.00027,0.00029696,0.00010959,4411835.77454215
2026-09-19T17:47:03.565089+00:00,fUSD,trade:1h:a30:p2:p30,1789837200000,0.00027396,0.00028972,0.00029676,0.00010959,4296982.86523501
2026-09-19T18:47:03.154849+00:00,fUSD,trade:1h:a30:p2:p30,1789840800000,0.00024803,0.00027966,0.00028401,7.945e-05,3042734.17972284
2026-09-19T19:47:03.079843+00:00,fUSD,trade:1h:a30:p2:p30,1789844400000,0.00026607,0.0002759,0.00027984,7.945e-05,7692797.95895898
2026-09-19T20:47:03.724330+00:00,fUSD,trade:1h:a30:p2:p30,1789848000000,0.00026305,0.00025,0.00027974,8e-05,5313330.00469885
2026-09-19T21:47:03.473004+00:00,fUSD,trade:1h:a30:p2:p30,1789851600000,0.00027077,0.00028014,0.00028053,0.00015,4359796.7629445
2026-09-19T22:47:04.058383+00:00,fUSD,trade:1h:a30:p2:p30,1789855200000,0.00026969,0.00024453,0.00028829,0.00015,6718728.5449104
2026-09-19T23:47:03.274185+00:00,fUSD,trade:1h:a30:p2:p30,1789858800000,0.00024712,0.00027,0.00028399,8e-05,4812428.04522212
