collected_at,market,mts,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,payload_json
2026-08-19T00:47:03.045803+00:00,fUST,1787097900000,6.8e-07,71.88,473037232.57691664,434974207.80805457,36068181.69223425,"[1787097900000, null, null, 6.8e-07, 71.88, null, null, 473037232.57691664, 434974207.80805457, null, null, 36068181.69223425, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T01:47:03.004157+00:00,fUST,1787101500000,6.8e-07,71.77,473150813.1848776,435086041.68228346,37215326.97859805,"[1787101500000, null, null, 6.8e-07, 71.77, null, null, 473150813.1848776, 435086041.68228346, null, null, 37215326.97859805, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T02:47:03.185298+00:00,fUST,1787105100000,6.8e-07,71.74,473112262.6420718,435058195.393579,36820373.9777625,"[1787105100000, null, null, 6.8e-07, 71.74, null, null, 473112262.6420718, 435058195.393579, null, null, 36820373.9777625, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T03:47:03.084630+00:00,fUST,1787108700000,6.8e-07,69.93,475336576.3283692,437202823.27080786,34593992.56020365,"[1787108700000, null, null, 6.8e-07, 69.93, null, null, 475336576.3283692, 437202823.27080786, null, null, 34593992.56020365, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T04:47:02.692153+00:00,fUST,1787112300000,6.8e-07,69.89,475409596.4081073,437270868.1882126,34412253.97134521,"[1787112300000, null, null, 6.8e-07, 69.89, null, null, 475409596.4081073, 437270868.1882126, null, null, 34412253.97134521, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T05:47:03.413281+00:00,fUST,1787115900000,6.8e-07,69.81,475290276.85233593,436923050.71800005,34390165.07457225,"[1787115900000, null, null, 6.8e-07, 69.81, null, null, 475290276.85233593, 436923050.71800005, null, null, 34390165.07457225, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T06:38:38.223362+00:00,fUST,1787119500000,6.8e-07,70.22,473192513.81732297,434833152.942992,34918820.95039998,"[1787119500000, null, null, 6.8e-07, 70.22, null, null, 473192513.81732297, 434833152.942992, null, null, 34918820.95039998, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T07:13:21.370550+00:00,fUST,1787123100000,6.8e-07,70.8,472220514.35505223,433847763.74025416,36006655.49176622,"[1787123100000, null, null, 6.8e-07, 70.8, null, null, 472220514.35505223, 433847763.74025416, null, null, 36006655.49176622, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T07:47:03.690025+00:00,fUST,1787123100000,6.8e-07,70.8,472220514.35505223,433847763.74025416,36006655.49176622,"[1787123100000, null, null, 6.8e-07, 70.8, null, null, 472220514.35505223, 433847763.74025416, null, null, 36006655.49176622, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T08:47:03.775045+00:00,fUST,1787126700000,6.8e-07,71.17,471252662.09012467,432752544.05130345,33278871.7925653,"[1787126700000, null, null, 6.8e-07, 71.17, null, null, 471252662.09012467, 432752544.05130345, null, null, 33278871.7925653, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T09:47:03.451593+00:00,fUST,1787130300000,6.8e-07,70.69,472069479.0819383,433590461.05261815,33302644.68046074,"[1787130300000, null, null, 6.8e-07, 70.69, null, null, 472069479.0819383, 433590461.05261815, null, null, 33302644.68046074, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T10:47:03.656591+00:00,fUST,1787133900000,6.8e-07,70.77,472011352.2027664,433437796.3610558,33608881.39074075,"[1787133900000, null, null, 6.8e-07, 70.77, null, null, 472011352.2027664, 433437796.3610558, null, null, 33608881.39074075, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T11:47:02.603566+00:00,fUST,1787137500000,6.8e-07,71.25,470613021.3473153,436764836.7426947,34156713.76742419,"[1787137500000, null, null, 6.8e-07, 71.25, null, null, 470613021.3473153, 436764836.7426947, null, null, 34156713.76742419, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T12:47:03.301334+00:00,fUST,1787141100000,6.8e-07,70.33,472191488.15998554,438269577.2535636,33339092.435166,"[1787141100000, null, null, 6.8e-07, 70.33, null, null, 472191488.15998554, 438269577.2535636, null, null, 33339092.435166, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T13:47:04.564238+00:00,fUST,1787144700000,6.8e-07,70.47,471735080.23928505,437808788.24759847,33926468.41549843,"[1787144700000, null, null, 6.8e-07, 70.47, null, null, 471735080.23928505, 437808788.24759847, null, null, 33926468.41549843, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T14:47:04.235739+00:00,fUST,1787148300000,6.8e-07,70.69,471703997.5836126,437874241.15833753,33345308.09028515,"[1787148300000, null, null, 6.8e-07, 70.69, null, null, 471703997.5836126, 437874241.15833753, null, null, 33345308.09028515, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T15:47:03.115704+00:00,fUST,1787151900000,6.8e-07,71.12,471333987.9657242,436743953.62934774,33780379.79722332,"[1787151900000, null, null, 6.8e-07, 71.12, null, null, 471333987.9657242, 436743953.62934774, null, null, 33780379.79722332, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T16:47:03.352065+00:00,fUST,1787155500000,6.8e-07,71.46,470859621.8596123,436253008.7041617,34104135.60721585,"[1787155500000, null, null, 6.8e-07, 71.46, null, null, 470859621.8596123, 436253008.7041617, null, null, 34104135.60721585, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T17:47:04.016012+00:00,fUST,1787159100000,6.8e-07,71.95,471417089.6654667,436668221.18430585,33220215.02782114,"[1787159100000, null, null, 6.8e-07, 71.95, null, null, 471417089.6654667, 436668221.18430585, null, null, 33220215.02782114, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T18:47:03.643432+00:00,fUST,1787162700000,6.8e-07,72.94,470180245.55914915,435574663.41898155,35058447.03657929,"[1787162700000, null, null, 6.8e-07, 72.94, null, null, 470180245.55914915, 435574663.41898155, null, null, 35058447.03657929, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T19:47:04.202125+00:00,fUST,1787166300000,6.8e-07,72.61,469963568.45458996,435339869.1060485,35420561.27462271,"[1787166300000, null, null, 6.8e-07, 72.61, null, null, 469963568.45458996, 435339869.1060485, null, null, 35420561.27462271, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T20:47:03.092987+00:00,fUST,1787169900000,6.8e-07,72.08,470460843.31992185,435919459.2569542,35050069.09148324,"[1787169900000, null, null, 6.8e-07, 72.08, null, null, 470460843.31992185, 435919459.2569542, null, null, 35050069.09148324, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T21:47:03.507447+00:00,fUST,1787173500000,6.8e-07,72.11,470343347.20129275,435783799.21178216,35060025.29772778,"[1787173500000, null, null, 6.8e-07, 72.11, null, null, 470343347.20129275, 435783799.21178216, null, null, 35060025.29772778, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T22:47:04.035979+00:00,fUST,1787177100000,6.8e-07,72.36,470109699.12709963,435865386.39244574,21070793.52076505,"[1787177100000, null, null, 6.8e-07, 72.36, null, null, 470109699.12709963, 435865386.39244574, null, null, 21070793.52076505, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-08-19T23:47:03.353163+00:00,fUST,1787180700000,6.8e-07,72.02,470173327.2816545,435980597.40196633,20870840.63767064,"[1787180700000, null, null, 6.8e-07, 72.02, null, null, 470173327.2816545, 435980597.40196633, null, null, 20870840.63767064, null, null, null, null, null, null, null, null, null, null, null, null]"
