collected_at,market,mts,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,payload_json
2026-09-12T00:47:03.093183+00:00,fUSD,1789171500000,8.4e-07,88.44,5983113576.668059,5848009875.256714,417711313.54805076,"[1789171500000, null, null, 8.4e-07, 88.44, null, null, 5983113576.668059, 5848009875.256714, null, null, 417711313.54805076, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T01:47:02.804156+00:00,fUSD,1789175100000,8.4e-07,88.32,5983880281.223363,5848788861.465567,416390009.5609894,"[1789175100000, null, null, 8.4e-07, 88.32, null, null, 5983880281.223363, 5848788861.465567, null, null, 416390009.5609894, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T02:47:03.239738+00:00,fUSD,1789178700000,8.4e-07,88.19,5985958035.64207,5852304203.69064,414704323.49602115,"[1789178700000, null, null, 8.4e-07, 88.19, null, null, 5985958035.64207, 5852304203.69064, null, null, 414704323.49602115, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T03:47:02.808991+00:00,fUSD,1789182300000,8.4e-07,87.97,5991007406.674438,5859039104.848829,409386367.0998697,"[1789182300000, null, null, 8.4e-07, 87.97, null, null, 5991007406.674438, 5859039104.848829, null, null, 409386367.0998697, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T04:47:02.963399+00:00,fUSD,1789185900000,8.4e-07,87.66,5993492480.697998,5861417430.1073065,405027517.497513,"[1789185900000, null, null, 8.4e-07, 87.66, null, null, 5993492480.697998, 5861417430.1073065, null, null, 405027517.497513, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T05:47:02.875352+00:00,fUSD,1789189500000,8.4e-07,88.31,5986934355.595338,5851991380.539143,413339281.99005705,"[1789189500000, null, null, 8.4e-07, 88.31, null, null, 5986934355.595338, 5851991380.539143, null, null, 413339281.99005705, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T06:47:03.138499+00:00,fUSD,1789193100000,8.4e-07,88.63,5987632046.179624,5853885229.427513,410372904.2022615,"[1789193100000, null, null, 8.4e-07, 88.63, null, null, 5987632046.179624, 5853885229.427513, null, null, 410372904.2022615, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T07:47:03.477261+00:00,fUSD,1789196700000,8.4e-07,88.61,5987150877.4671335,5853058378.759168,418839932.5898022,"[1789196700000, null, null, 8.4e-07, 88.61, null, null, 5987150877.4671335, 5853058378.759168, null, null, 418839932.5898022, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T08:47:02.736869+00:00,fUSD,1789200300000,8.4e-07,88.37,5995813136.052639,5861594362.36237,414387036.91506493,"[1789200300000, null, null, 8.4e-07, 88.37, null, null, 5995813136.052639, 5861594362.36237, null, null, 414387036.91506493, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T09:47:02.982484+00:00,fUSD,1789203900000,8.4e-07,87.95,5994724829.590693,5861426924.951037,411868352.8487114,"[1789203900000, null, null, 8.4e-07, 87.95, null, null, 5994724829.590693, 5861426924.951037, null, null, 411868352.8487114, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T10:47:03.806930+00:00,fUSD,1789207500000,8.4e-07,86.55,5982654041.38449,5849286025.651807,422486155.07690614,"[1789207500000, null, null, 8.4e-07, 86.55, null, null, 5982654041.38449, 5849286025.651807, null, null, 422486155.07690614, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T11:47:02.882086+00:00,fUSD,1789211100000,8.4e-07,86.28,5985236790.116223,5851346623.45188,418397592.19588596,"[1789211100000, null, null, 8.4e-07, 86.28, null, null, 5985236790.116223, 5851346623.45188, null, null, 418397592.19588596, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T12:47:03.631317+00:00,fUSD,1789214700000,8.4e-07,86.09,5991884278.727497,5857515421.347644,414116500.5671292,"[1789214700000, null, null, 8.4e-07, 86.09, null, null, 5991884278.727497, 5857515421.347644, null, null, 414116500.5671292, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T13:47:02.946143+00:00,fUSD,1789218300000,8.4e-07,85.65,6064858689.785569,5981304109.507443,335158143.6390715,"[1789218300000, null, null, 8.4e-07, 85.65, null, null, 6064858689.785569, 5981304109.507443, null, null, 335158143.6390715, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-12T14:47:03.908002+00:00,fUSD,1789221900000,8.4e-07,84.94,6085501622.525498,6001594132.711058,311245327.9293724,"[1789221900000, null, null, 8.4e-07, 84.94, null, null, 6085501622.525498, 6001594132.711058, null, null, 311245327.9293724, null, null, null, null, null, null, null, null, null, null, null, null]"
