collected_at,market,mts,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,payload_json
2026-09-13T00:47:02.934338+00:00,fBTC,1789257900000,0,48.34,873.30922228,872.70332686,2473.6825233,"[1789257900000, null, null, 0, 48.34, null, null, 873.30922228, 872.70332686, null, null, 2473.6825233, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T01:47:03.182660+00:00,fBTC,1789261500000,0,48.42,873.34356305,872.73766763,2439.92873047,"[1789261500000, null, null, 0, 48.42, null, null, 873.34356305, 872.73766763, null, null, 2439.92873047, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T02:47:02.981322+00:00,fBTC,1789265100000,0,48.58,873.70304338,873.09714796,2440.22817781,"[1789265100000, null, null, 0, 48.58, null, null, 873.70304338, 873.09714796, null, null, 2440.22817781, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T03:47:02.760164+00:00,fBTC,1789268700000,0,49.02,872.72637113,872.12047571,2454.86898165,"[1789268700000, null, null, 0, 49.02, null, null, 872.72637113, 872.12047571, null, null, 2454.86898165, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T04:47:02.957383+00:00,fBTC,1789272300000,0,49.05,873.53572327,872.92982785,2475.22686349,"[1789272300000, null, null, 0, 49.05, null, null, 873.53572327, 872.92982785, null, null, 2475.22686349, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T05:47:02.820431+00:00,fBTC,1789275900000,0,49.12,872.97941006,872.324499,2475.636726,"[1789275900000, null, null, 0, 49.12, null, null, 872.97941006, 872.324499, null, null, 2475.636726, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T06:47:03.146564+00:00,fBTC,1789279500000,0,49.27,872.99576054,872.38986512,2475.95088934,"[1789279500000, null, null, 0, 49.27, null, null, 872.99576054, 872.38986512, null, null, 2475.95088934, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T07:47:03.278324+00:00,fBTC,1789283100000,0,49.3,873.49576054,872.88986512,2453.50766135,"[1789283100000, null, null, 0, 49.3, null, null, 873.49576054, 872.88986512, null, null, 2453.50766135, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T08:47:03.507728+00:00,fBTC,1789286700000,0,49.63,873.29400839,872.68811297,2474.7270443,"[1789286700000, null, null, 0, 49.63, null, null, 873.29400839, 872.68811297, null, null, 2474.7270443, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T09:47:03.377607+00:00,fBTC,1789290300000,0,50.44,867.21909117,866.61319575,2452.94400485,"[1789290300000, null, null, 0, 50.44, null, null, 867.21909117, 866.61319575, null, null, 2452.94400485, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T10:47:03.837080+00:00,fBTC,1789293900000,0,50.39,865.63193763,865.02604221,2426.01632929,"[1789293900000, null, null, 0, 50.39, null, null, 865.63193763, 865.02604221, null, null, 2426.01632929, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T11:47:03.653188+00:00,fBTC,1789297500000,0,50.59,865.24443762,864.6385422,2460.93244399,"[1789297500000, null, null, 0, 50.59, null, null, 865.24443762, 864.6385422, null, null, 2460.93244399, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T12:47:03.752143+00:00,fBTC,1789301100000,0,51.1,865.71497447,865.09112946,2453.58319096,"[1789301100000, null, null, 0, 51.1, null, null, 865.71497447, 865.09112946, null, null, 2453.58319096, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T13:47:04.257693+00:00,fBTC,1789304700000,0,50.97,838.4449179,837.83902248,2444.35812058,"[1789304700000, null, null, 0, 50.97, null, null, 838.4449179, 837.83902248, null, null, 2444.35812058, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-13T14:47:03.845137+00:00,fBTC,1789308300000,0,49.68,865.53279394,864.87788288,2456.08300282,"[1789308300000, null, null, 0, 49.68, null, null, 865.53279394, 864.87788288, null, null, 2456.08300282, null, null, null, null, null, null, null, null, null, null, null, null]"
