collected_at,market,mts,frr,avg_period,funding_amount,funding_amount_used,funding_below_threshold,payload_json
2026-09-14T00:47:03.298704+00:00,fETH,1789344300000,4.1e-07,26.14,13960.63147923,13638.29989517,6385.12878476,"[1789344300000, null, null, 4.1e-07, 26.14, null, null, 13960.63147923, 13638.29989517, null, null, 6385.12878476, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T01:47:03.032718+00:00,fETH,1789347900000,4e-07,26.01,14288.69617541,13957.91742534,6292.53272002,"[1789347900000, null, null, 4e-07, 26.01, null, null, 14288.69617541, 13957.91742534, null, null, 6292.53272002, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T02:47:03.322617+00:00,fETH,1789351500000,4e-07,26.02,14302.52955186,13962.44579869,6300.97455855,"[1789351500000, null, null, 4e-07, 26.02, null, null, 14302.52955186, 13962.44579869, null, null, 6300.97455855, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T03:47:03.153837+00:00,fETH,1789355100000,4e-07,26.03,14298.1704558,13948.00586114,6305.34331507,"[1789355100000, null, null, 4e-07, 26.03, null, null, 14298.1704558, 13948.00586114, null, null, 6305.34331507, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T04:47:03.912716+00:00,fETH,1789358700000,4e-07,25.88,14289.32657442,13994.45039588,6232.52606193,"[1789358700000, null, null, 4e-07, 25.88, null, null, 14289.32657442, 13994.45039588, null, null, 6232.52606193, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T05:47:03.431680+00:00,fETH,1789362300000,4e-07,26.5,14006.46684744,13697.73407726,6429.59241198,"[1789362300000, null, null, 4e-07, 26.5, null, null, 14006.46684744, 13697.73407726, null, null, 6429.59241198, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T06:47:02.960846+00:00,fETH,1789365900000,4e-07,26.48,13961.4333007,13621.72083863,6641.54860351,"[1789365900000, null, null, 4e-07, 26.48, null, null, 13961.4333007, 13621.72083863, null, null, 6641.54860351, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T07:47:03.170734+00:00,fETH,1789369500000,4e-07,26.84,13496.17080576,13173.07459166,6619.30115566,"[1789369500000, null, null, 4e-07, 26.84, null, null, 13496.17080576, 13173.07459166, null, null, 6619.30115566, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T08:47:02.848782+00:00,fETH,1789373100000,4e-07,26.8,12884.09506505,12555.19674401,7157.48068754,"[1789373100000, null, null, 4e-07, 26.8, null, null, 12884.09506505, 12555.19674401, null, null, 7157.48068754, null, null, null, null, null, null, null, null, null, null, null, null]"
2026-09-14T09:47:03.060860+00:00,fETH,1789376700000,4e-07,27.39,12807.22726266,12532.8983377,7177.08555989,"[1789376700000, null, null, 4e-07, 27.39, null, null, 12807.22726266, 12532.8983377, null, null, 7177.08555989, null, null, null, null, null, null, null, null, null, null, null, null]"
