collected_at,market,bid,ask,daily_change,daily_change_perc,last_price,volume,high,low,first_trade
2026-08-21T00:47:02.896331+00:00,tBTCUSD,73652,73653,4109,0.0590781,73661,1608.88849106,74041,68936,1358182043000
2026-08-21T01:47:03.794518+00:00,tBTCUSD,74862,74864,5014,0.07177725,74869,1698.02991288,75100,68936,1358182043000
2026-08-21T02:47:03.885683+00:00,tBTCUSD,74623,74628,5300,0.07644819,74628,1785.34000414,75795,68936,1358182043000
2026-08-21T03:47:03.837242+00:00,tBTCUSD,74745,74750,5329,0.07678342,74732,1808.82421354,75795,69183,1358182043000
2026-08-21T04:47:03.526009+00:00,tBTCUSD,75050,75052,5493,0.07895985,75060,1814.58335625,75795,69340,1358182043000
2026-08-21T05:47:04.290537+00:00,tBTCUSD,75256,75264,5825,0.08388537,75265,1815.30548191,75795,69340,1358182043000
2026-08-21T06:47:04.297343+00:00,tBTCUSD,75317,75319,5253,0.07497431,75317,1713.73207399,75795,69522,1358182043000
2026-08-21T07:47:03.679760+00:00,tBTCUSD,76581,76601,5204,0.07291068,76579,1810.45458324,76900,69782,1358182043000
2026-08-21T08:47:03.745700+00:00,tBTCUSD,77903,77914,5940,0.08251948,77923,1745.5666935,77950,71131,1358182043000
2026-08-21T09:47:03.869571+00:00,tBTCUSD,78279,78290,6108,0.08462764,78283,1904.99289932,79600,71131,1358182043000
2026-08-21T10:47:03.593624+00:00,tBTCUSD,78033,78040,5900,0.08178088,78044,1950.35456934,79600,71131,1358182043000
2026-08-21T11:47:04.013620+00:00,tBTCUSD,76873,76880,4884,0.0678371,76880,2013.03838434,79600,71131,1358182043000
2026-08-21T12:47:04.121267+00:00,tBTCUSD,77318,77330,5125,0.07097453,77334,2225.40594151,79600,71131,1358182043000
2026-08-21T13:47:06.035912+00:00,tBTCUSD,77260,77278,5256,0.07300203,77254,2326.32627781,79600,71370,1358182043000
2026-08-21T14:47:04.537370+00:00,tBTCUSD,77362,77371,4767,0.0656702,77357,2367.10734392,79600,71795,1358182043000
2026-08-21T15:47:03.971667+00:00,tBTCUSD,77531,77538,5002,0.06895506,77542,2305.46232546,79600,72247,1358182043000
2026-08-21T16:47:05.977605+00:00,tBTCUSD,77418,77427,4531,0.06215108,77434,2272.46993516,79600,72324,1358182043000
2026-08-21T17:47:03.540491+00:00,tBTCUSD,77386,77394,4561,0.06262271,77394,2272.35546457,79600,72324,1358182043000
2026-08-21T18:47:02.687053+00:00,tBTCUSD,76797,76801,4302,0.0593232,76820,2269.55403379,79600,72324,1358182043000
2026-08-21T19:47:02.881302+00:00,tBTCUSD,77133,77138,4350,0.0597626,77138,2279.455859,79600,72502,1358182043000
2026-08-21T20:47:02.508648+00:00,tBTCUSD,77431,77435,4728,0.0650317,77431,2292.76534432,79600,72502,1358182043000
2026-08-21T21:47:02.267592+00:00,tBTCUSD,78270,78277,5502,0.07560808,78272,2326.9557771,79600,72502,1358182043000
2026-08-21T22:47:02.586799+00:00,tBTCUSD,78449,78452,5510,0.07553843,78453,2365.157046,79600,72663,1358182043000
2026-08-21T23:47:02.602224+00:00,tBTCUSD,78366,78373,4856,0.06605545,78370,2358.21305703,79600,73047,1358182043000
