collected_at,market,bid,ask,daily_change,daily_change_perc,last_price,volume,high,low,first_trade
2026-09-08T00:47:03.767192+00:00,tETHUSD,2493.6,2493.9,-25.1,-0.00996467,2493.8,3248.080388,2539.1,2468.9,1457539475000
2026-09-08T01:47:03.896961+00:00,tETHUSD,2501.7,2502.1,-5.4,-0.00215371,2501.9,3213.34372314,2539.1,2468.9,1457539475000
2026-09-08T02:47:03.926442+00:00,tETHUSD,2493.4,2493.9,-25.2,-0.01000437,2493.7,3142.7217324,2518.9,2468.9,1457539475000
2026-09-08T03:47:03.732156+00:00,tETHUSD,2488.4,2488.8,-13.2,-0.00527662,2488.4,3149.01798369,2516.9,2468.9,1457539475000
2026-09-08T04:47:03.503228+00:00,tETHUSD,2485.7,2486.1,-22.4,-0.00893071,2485.8,3098.51030285,2516.9,2468.9,1457539475000
2026-09-08T05:47:04.086461+00:00,tETHUSD,2477.7,2478.1,-34.8,-0.0138502,2477.8,3145.18310812,2514.1,2468.9,1457539475000
2026-09-08T06:47:03.911833+00:00,tETHUSD,2468.8,2469.3,-35.3,-0.01409576,2469,3216.88287628,2514.1,2465.6,1457539475000
2026-09-08T07:47:03.677834+00:00,tETHUSD,2478.6,2478.8,-15.3,-0.00613374,2479.1,2923.7858026,2514.1,2465.6,1457539475000
2026-09-08T08:47:03.978476+00:00,tETHUSD,2485.4,2485.8,-14.5,-0.0058,2485.5,4451.85092386,2514.1,2465.6,1457539475000
2026-09-08T09:47:03.818758+00:00,tETHUSD,2496.1,2496.4,4.1,0.00164487,2496.7,5436.14199212,2514.1,2465.6,1457539475000
2026-09-08T10:47:04.512716+00:00,tETHUSD,2487,2487.2,-6.6,-0.00264678,2487,5604.02997088,2514.1,2465.6,1457539475000
2026-09-08T11:47:04.618919+00:00,tETHUSD,2476,2476.2,-19.8,-0.00793365,2475.9,6279.22959432,2514.1,2465.6,1457539475000
2026-09-08T12:47:05.838382+00:00,tETHUSD,2475.7,2475.9,-37.5,-0.01492122,2475.7,8221.34539321,2514.1,2465.6,1457539475000
2026-09-08T13:47:04.509597+00:00,tETHUSD,2450.1,2450.7,-52.7,-0.0210581,2449.9,10754.76193861,2510.3,2444.9,1457539475000
2026-09-08T14:47:04.332323+00:00,tETHUSD,2486.4,2486.6,-6.6,-0.00264699,2486.8,11998.35202003,2510.3,2444.9,1457539475000
2026-09-08T15:47:04.385287+00:00,tETHUSD,2496.8,2497.3,17.7,0.0071394,2496.9,11559.37712726,2510.3,2444.9,1457539475000
2026-09-08T16:47:04.389367+00:00,tETHUSD,2497.8,2498.4,4.7,0.00188498,2498.1,12225.61552899,2510.3,2444.9,1457539475000
2026-09-08T17:47:04.439025+00:00,tETHUSD,2492.8,2493.1,-7.1,-0.00283989,2493,13114.99409362,2510.3,2444.9,1457539475000
2026-09-08T18:47:04.303178+00:00,tETHUSD,2498.2,2498.5,3.9,0.00156319,2498.8,14551.13035412,2510.3,2444.9,1457539475000
2026-09-08T19:47:02.940326+00:00,tETHUSD,2481.7,2482,-18.1,-0.00724029,2481.8,14737.39299286,2510.3,2444.9,1457539475000
2026-09-08T20:47:02.927875+00:00,tETHUSD,2486.4,2486.8,-12.2,-0.00488254,2486.5,14773.1976831,2510.3,2444.9,1457539475000
2026-09-08T21:47:03.215833+00:00,tETHUSD,2485.5,2485.6,-8.4,-0.00336754,2486,14906.13210378,2510.3,2444.9,1457539475000
2026-09-08T22:47:03.369666+00:00,tETHUSD,2487.1,2487.3,-4.4,-0.00176572,2487.5,14810.56962007,2510.3,2444.9,1457539475000
2026-09-08T23:47:03.359197+00:00,tETHUSD,2487.1,2487.2,-6.6,-0.00264678,2487,14822.90097017,2510.3,2444.9,1457539475000
