market,feature_time,hour,day_of_week,avg_rate,weighted_avg_rate,min_rate,max_rate,total_amount,avg_period,offer_count,demand_count,rate_spread,previous_weighted_avg_rate,rate_change,amount_change,target_next_weighted_avg_rate
fBTC,2026-07-21T14:26:37.676638+00:00,14,1,3.920406098427194e-08,4.107001169190963e-08,1e-08,4.4e-08,1110.66129319,20.85185185185185,461,2,3.4e-08,,,,4.107100792423852e-08
fBTC,2026-07-21T14:30:50.998308+00:00,14,1,3.921887579908676e-08,4.107100792423852e-08,1e-08,4.41e-08,1110.40361253,20.85185185185185,460,2,3.4099999999999994e-08,4.107001169190963e-08,9.962323288884002e-13,-0.25768066000000545,4.102841923078541e-08
fBTC,2026-07-21T16:40:48.318709+00:00,16,1,3.866112765093861e-08,4.102841923078541e-08,1e-08,4.3e-08,1114.8582819599999,20.74074074074074,443,2,3.3000000000000004e-08,4.107100792423852e-08,-4.258869345311232e-11,4.454669429999967,4.105131664299144e-08
fBTC,2026-07-21T18:39:19.994520+00:00,18,1,3.777891594911937e-08,4.105131664299144e-08,1e-08,4.48e-08,1085.46464136,20.5,442,3,3.4799999999999994e-08,4.102841923078541e-08,2.289741220603262e-11,-29.3936405999998,4.1081896599445644e-08
fBTC,2026-07-21T20:35:06.775427+00:00,20,1,3.801820166340509e-08,4.1081896599445644e-08,1e-08,4.39e-08,1098.64849037,20.607142857142858,462,3,3.3900000000000006e-08,4.105131664299144e-08,3.057995645420215e-11,13.183849009999904,4.1081660434018485e-08
fBTC,2026-07-21T22:11:29.810706+00:00,22,1,3.801463023483366e-08,4.1081660434018485e-08,1e-08,4.38e-08,1095.7911038299999,20.892857142857142,462,3,3.38e-08,4.1081896599445644e-08,-2.361654271583109e-13,-2.857386540000107,4.1051173576673444e-08
fBTC,2026-07-21T23:10:28.735349+00:00,23,1,3.778605880626223e-08,4.1051173576673444e-08,1e-08,4.29e-08,1084.795906,20.892857142857142,445,3,3.29e-08,4.1081660434018485e-08,-3.0486857345041026e-11,-10.995197829999825,4.1095762292010807e-08
fBTC,2026-07-22T00:04:45.703623+00:00,0,2,3.797891594911937e-08,4.1095762292010807e-08,1e-08,4.37e-08,1087.16514063,20.607142857142858,462,3,3.3700000000000004e-08,4.1051173576673444e-08,4.458871533736221e-11,2.369234629999937,4.111334729006611e-08
fBTC,2026-07-22T03:43:28.801965+00:00,3,2,3.8045201663405094e-08,4.111334729006611e-08,1e-08,4.4e-08,1077.88319659,21.0,470,3,3.4e-08,4.1095762292010807e-08,1.7584998055302306e-11,-9.281944040000099,4.109776334683136e-08
fBTC,2026-07-22T06:41:18.869106+00:00,6,2,3.8552458806262234e-08,4.109776334683136e-08,1e-08,4.52592e-08,1127.1542295,20.357142857142858,445,3,3.5259199999999996e-08,4.111334729006611e-08,-1.5583943234748346e-11,49.27103291000003,4.1005701700443166e-08
